stf,st,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,AL,21.0,52.0,31.0,63.0,57.0,44.0,80.0,70.0,65.0,98.0
4,AZ,1.0,3.0,5.0,1.0,3.0,5.0,12.0,2.0,6.0,9.0
5,AR,31.0,20.0,20.0,23.0,37.0,34.0,29.0,42.0,32.0,40.0
6,CA,4.0,9.0,10.0,4.0,3.0,6.0,14.0,8.0,4.0,4.0
8,CO,26.0,49.0,54.0,39.0,19.0,45.0,49.0,35.0,48.0,31.0
9,CT,4.0,1.0,0.0,1.0,0.0,9.0,1.0,7.0,8.0,1.0
10,DE,1.0,1.0,1.0,0.0,1.0,0.0,2.0,4.0,2.0,0.0
11,DC,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
12,FL,37.0,28.0,30.0,45.0,57.0,46.0,25.0,58.0,33.0,69.0
13,GA,17.0,30.0,23.0,28.0,117.0,24.0,42.0,60.0,47.0,42.0
15,HI,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ID,6.0,3.0,1.0,2.0,1.0,4.0,5.0,0.0,0.0,1.0
17,IL,52.0,48.0,67.0,45.0,49.0,55.0,48.0,63.0,73.0,35.0
18,IN,40.0,27.0,21.0,42.0,29.0,16.0,31.0,15.0,19.0,14.0
19,IA,25.0,55.0,59.0,45.0,52.0,69.0,56.0,28.0,119.0,42.0
20,KS,55.0,40.0,126.0,102.0,60.0,45.0,87.0,17.0,37.0,54.0
21,KY,35.0,26.0,17.0,24.0,25.0,35.0,25.0,22.0,36.0,32.0
22,LA,35.0,15.0,29.0,27.0,84.0,81.0,82.0,42.0,48.0,49.0
23,ME,4.0,4.0,0.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0
24,MD,10.0,2.0,4.0,3.0,4.0,2.0,6.0,20.0,8.0,6.0
25,MA,2.0,3.0,2.0,1.0,2.0,7.0,3.0,2.0,5.0,0.0
26,MI,11.0,13.0,14.0,15.0,9.0,15.0,8.0,2.0,18.0,4.0
27,MN,15.0,23.0,39.0,37.0,61.0,44.0,52.0,59.0,62.0,71.0
28,MS,30.0,40.0,45.0,45.0,68.0,59.0,113.0,82.0,75.0,118.0
29,MO,48.0,46.0,47.0,18.0,81.0,46.0,63.0,19.0,46.0,14.0
30,MT,6.0,8.0,3.0,6.0,1.0,10.0,4.0,3.0,1.0,3.0
31,NE,50.0,62.0,23.0,45.0,32.0,31.0,34.0,22.0,44.0,26.0
32,NV,0.0,6.0,1.0,0.0,2.0,4.0,1.0,0.0,1.0,0.0
33,NH,0.0,2.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,2.0
34,NJ,3.0,0.0,0.0,2.0,2.0,0.0,9.0,4.0,11.0,2.0
35,NM,2.0,14.0,6.0,9.0,12.0,11.0,19.0,6.0,16.0,2.0
36,NY,6.0,11.0,2.0,2.0,12.0,12.0,4.0,12.0,12.0,7.0
37,NC,10.0,31.0,9.0,16.0,28.0,37.0,46.0,46.0,19.0,19.0
38,ND,16.0,14.0,30.0,22.0,32.0,28.0,15.0,22.0,15.0,16.0
39,OH,30.0,20.0,7.0,24.0,41.0,18.0,48.0,20.0,31.0,27.0
39,TX,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,OK,82.0,16.0,108.0,57.0,85.0,43.0,148.0,38.0,63.0,54.0
41,OR,3.0,0.0,1.0,4.0,3.0,3.0,4.0,2.0,0.0,4.0
42,PA,9.0,9.0,12.0,9.0,25.0,32.0,35.0,6.0,43.0,7.0
44,RI,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
45,SC,9.0,7.0,8.0,4.0,43.0,18.0,24.0,61.0,24.0,25.0
46,SD,13.0,29.0,24.0,13.0,15.0,19.0,25.0,23.0,21.0,38.0
47,TN,41.0,15.0,16.0,10.0,33.0,25.0,19.0,34.0,65.0,4.0
48,TX,83.0,46.0,241.0,100.0,167.0,53.0,167.0,84.0,94.0,118.0
49,UT,1.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0
50,VT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0
51,VA,5.0,12.0,7.0,9.0,26.0,28.0,23.0,15.0,11.0,16.0
53,WA,2.0,3.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0
54,WV,0.0,9.0,3.0,6.0,4.0,1.0,2.0,0.0,2.0,3.0
55,WI,15.0,21.0,17.0,16.0,23.0,32.0,29.0,18.0,40.0,28.0
56,WY,8.0,13.0,8.0,2.0,10.0,23.0,20.0,4.0,1.0,2.0
72,PR,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0
78,VI,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
